condition,method,coverage,selective_mae_mm_day,ci95_low_mm_day,ci95_high_mm_day
temperature_plus5,LogisticSign,0.72,0.8395873626457864,0.7542089025365507,0.9321898818443292
temperature_plus5,LogisticSign,0.73,0.8380305089496478,0.7535274937933566,0.9304283471995214
temperature_plus5,LogisticSign,0.74,0.8395448612933615,0.7529547646635746,0.9296267316260498
temperature_plus5,LogisticSign,0.75,0.8388258104991907,0.7527141361430107,0.9327905196047382
temperature_plus5,LogisticSign,0.76,0.8377355626261933,0.7535330861151203,0.9357038606562881
temperature_plus5,LogisticSign,0.77,0.837275380438161,0.7547683419803974,0.9386169774736384
temperature_plus5,LogisticSign,0.78,0.8370725517543603,0.7544647105020245,0.9421246649068318
temperature_plus5,LogisticSign,0.79,0.8389430342459467,0.7566761913631035,0.9456797481879761
temperature_plus5,LogisticSign,0.8,0.8399029417695805,0.7574470393053636,0.9477101945266452
temperature_plus5,LogisticSign,0.81,0.8511668397702181,0.7586952572648501,0.9503912979114989
temperature_plus5,LogisticSign,0.8200000000000001,0.851207870049292,0.7603135732140007,0.9516746693998537
temperature_plus5,LogisticSign,0.8300000000000001,0.8509233968249088,0.7608010953631041,0.9527955712205846
temperature_plus5,LogisticSign,0.84,0.8487215774610168,0.7621894469609289,0.9529030438762351
temperature_plus5,LogisticSign,0.85,0.8476759210692384,0.7620282287370239,0.955438452728261
temperature_plus5,LogisticSign,0.86,0.8512492959096537,0.7632715653258549,0.9559992738742523
temperature_plus5,LogisticSign,0.87,0.8535232141981685,0.7640480831946548,0.9572410798168719
temperature_plus5,LogisticSign,0.88,0.8560541744838314,0.7649571644956384,0.9599317015606794
temperature_plus5,LogisticSign,0.89,0.8571202317647202,0.7664586598773769,0.961971079606015
temperature_plus5,LogisticSign,0.9,0.85911751859993,0.7685363120862949,0.9666789600979213
temperature_plus5,LogisticSign,0.91,0.8616723829990479,0.7704723727560501,0.9685425407376298
temperature_plus5,LogisticSign,0.92,0.8596320045338508,0.772666569193036,0.971462094475025
temperature_plus5,LogisticSign,0.93,0.862066156991817,0.7732736295889977,0.9730104000267009
temperature_plus5,LogisticSign,0.9400000000000001,0.864728329194923,0.7740481140163562,0.9729161194994967
temperature_plus5,LogisticSign,0.9500000000000001,0.867896768797627,0.7740893170026277,0.975508508475687
temperature_plus5,LogisticSign,0.96,0.8684326223834017,0.7743209312803682,0.9750024357707866
temperature_plus5,LogisticSign,0.97,0.8711402999636189,0.7773873546414323,0.9751462262243125
temperature_plus5,LogisticSign,0.98,0.8713788734162526,0.7797857860277719,0.9761926970103669
temperature_plus5,LogisticSign,0.99,0.8716306092686035,0.7808142383092419,0.9803898112330901
temperature_plus5,LogisticSign,1.0,0.8796432787971871,0.782951508645716,0.9906001526752061
temperature_plus5,ConformalCSR,0.01,0.3310984515307823,0.2649255970466019,0.42849209464171484
temperature_plus5,ConformalCSR,0.02,0.3979785677848296,0.3247590279236847,0.4886759462794667
temperature_plus5,ConformalCSR,0.03,0.4631263424673604,0.37239870317022417,0.5301943333356589
temperature_plus5,ConformalCSR,0.04,0.46826449778693735,0.3915845215360995,0.5681022994283159
temperature_plus5,ConformalCSR,0.05,0.511396150267888,0.3992526764727212,0.6188351903829339
temperature_plus5,ConformalCSR,0.06,0.5020132448662263,0.41062143961013886,0.6521707601855508
temperature_plus5,ConformalCSR,0.07,0.5471832840058745,0.4223541771824185,0.6764630190369277
temperature_plus5,ConformalCSR,0.08,0.5587120448829579,0.4321932114298913,0.6973199949194755
temperature_plus5,ConformalCSR,0.09,0.5651956106770187,0.4452133453078211,0.7086896792302806
temperature_plus5,ConformalCSR,0.1,0.5733256835581094,0.45419176787659205,0.7082697090511597
temperature_plus5,ConformalCSR,0.11,0.5809917271998424,0.4686457095333389,0.7101000042936237
temperature_plus5,ConformalCSR,0.12,0.5903801219175479,0.48574322702067035,0.7161048631417908
temperature_plus5,ConformalCSR,0.13,0.6036444488484405,0.49968459388181447,0.7194518749267362
temperature_plus5,ConformalCSR,0.14,0.6334733727766886,0.5104250774735068,0.721961086686405
temperature_plus5,ConformalCSR,0.15,0.6262667912526347,0.5169319925682517,0.7204639606721117
temperature_plus5,ConformalCSR,0.16,0.6168818831000273,0.5255290605414925,0.7235252929016975
temperature_plus5,ConformalCSR,0.17,0.6168825854116748,0.5291145793521522,0.7258800956008027
temperature_plus5,ConformalCSR,0.18,0.6201209384944687,0.5328531193159062,0.7265159849875237
temperature_plus5,ConformalCSR,0.19,0.6236621833869656,0.5386593344797087,0.7252974978947663
temperature_plus5,ConformalCSR,0.2,0.6331747681612373,0.543298222480452,0.725721445408457
temperature_plus5,ConformalCSR,0.21,0.6351652450433841,0.5467187380281309,0.7268870563430792
