condition,method,fixed_coverage,fixed_selective_mae_mm_day,fixed_end_to_end_station_macro_mae_mm_day,accepted_rows
temperature_plus20,LogisticSign,0.42234677718813546,1.2876256881107357,1.0841851686092745,3734
temperature_plus20,ConformalCSR,0.5026024108163851,1.2078059291233776,1.104897616568959,4470
temperature_plus32,Gain,0.8813861566115684,1.5504248714666753,1.4756648248299367,7176
temperature_plus32,SupportGain,0.0,,0.8544271103497061,0
temperature_plus32,MonoGain,0.5489451686343868,1.7059860563844502,1.3276984342198632,4845
temperature_plus32,AugmentedGain,0.0010661061567458596,0.9491628107066431,0.8541577826242619,11
temperature_plus32,TunedGain,0.7991857168172991,1.5667653562912855,1.4097215725007908,6514
temperature_plus32,LogisticSign,0.45287039624634384,1.7226151297448602,1.29122596279608,4021
temperature_plus32,ConformalCSR,0.4858751839737096,1.625353636928002,1.3002106145585357,4335
temperature_fahrenheit_as_celsius,Gain,0.8883818135589993,1.7920131287863743,1.6938480429405411,7176
temperature_fahrenheit_as_celsius,SupportGain,0.0007145643870649482,0.3638927070794095,0.8544707565755268,4
temperature_fahrenheit_as_celsius,MonoGain,0.5732876510983477,1.9723519488583146,1.507572327994414,5006
temperature_fahrenheit_as_celsius,AugmentedGain,0.0017090367743060888,1.5902214947145814,0.8543830671040444,21
temperature_fahrenheit_as_celsius,TunedGain,0.8214939988908618,1.8080249479086117,1.6212806761489484,6565
temperature_fahrenheit_as_celsius,LogisticSign,0.4591142046645357,2.063288463558752,1.4458228589602815,3979
temperature_fahrenheit_as_celsius,ConformalCSR,0.4819302375865109,1.9533020633127418,1.4575181020234174,4302
vpd_x10,Gain,0.8170497523919844,4.322189618045385,3.708532423327048,7023
vpd_x10,SupportGain,0.0018396037904022408,0.4698278154273171,0.8544081218109039,22
vpd_x10,MonoGain,0.5739309027159922,4.12212471723398,2.7466002347280694,5311
vpd_x10,AugmentedGain,0.0,,0.8544271103497061,0
vpd_x10,TunedGain,0.809404206795865,4.388534625971132,3.6993578941523,6461
vpd_x10,LogisticSign,0.4486690549600009,4.549579886127044,2.5295076374956627,3250
vpd_x10,ConformalCSR,0.4950788131922234,4.082434127936432,2.5225552491723118,4402
