row_id,station,date,group,landcover,latitude,longitude,openet,eto,y,t_avg,vpd,ws,doy_sin,doy_cos,vp_kpa,vpd_kpa,es_kpa,t_max_c,valid,failed_rules
3482,US-FR2,2005-04-11,US-FR2,Mixed Forests,29.94949,-97.99623,2.1,5.7000003,2.3970639982743185,18.997020833333337,0.13019375,2.3989583333333333,0.9859481499638304,-0.1670516255021192,2.1956996373369817,0.13019375,2.3258933873369827,27.078000000000007,True,
3483,US-FR2,2005-05-05,US-FR2,Mixed Forests,29.94949,-97.99623,3.3,4.2000003,2.8519924202492835,19.473770833333337,0.084225,1.5441249999999995,0.835925479418637,-0.548842958284719,2.275871588409486,0.084225,2.360096588409487,26.708,True,
3484,US-FR2,2005-05-21,US-FR2,Mixed Forests,29.94949,-97.99623,4.7,6.4,4.631031394206177,26.63229166666667,0.1688812499999999,1.341020833333333,0.6551563572090853,-0.7554933140726803,3.5562838533828867,0.1688812499999999,3.725165103382889,35.52,True,
3485,US-FR2,2005-06-06,US-FR2,Mixed Forests,29.94949,-97.99623,4.4,6.4,4.7569142181019215,27.148062500000005,0.1084854166666666,2.416229166666668,0.4250003399695541,-0.9051931898913974,3.5506835455080417,0.1084854166666666,3.659168962174708,32.772,True,
3486,US-FR2,2005-06-14,US-FR2,Mixed Forests,29.94949,-97.99623,5.8,7.1,4.6551048468376015,27.620187500000004,0.1260020833333333,1.5384166666666663,0.2967128192734907,-0.9549667548552552,3.6801048960202576,0.1260020833333333,3.8061069793535913,34.314,True,
3487,US-FR2,2005-06-22,US-FR2,Mixed Forests,29.94949,-97.99623,4.6,7.5,3.478699835614733,26.03910416666666,0.1798062499999999,1.3219375,0.1628070129385171,-0.986657932891657,3.3946571651204485,0.1798062499999999,3.5744634151204484,34.311,True,
3488,US-FR2,2005-06-30,US-FR2,Mixed Forests,29.94949,-97.99623,4.8,8.400001,2.977296092790804,29.74929166666667,0.1726979166666666,2.153395833333333,0.025818440227133,-0.9996666485105112,4.166438016099562,0.1726979166666666,4.339135932766228,37.251,True,
3489,US-FR2,2005-08-25,US-FR2,Mixed Forests,29.94949,-97.99623,3.5,6.3,3.0314886983977973,29.5893125,0.1722666666666666,1.6455833333333334,-0.8064799463209447,-0.5912614448635782,4.118044363927437,0.1722666666666666,4.290311030594105,36.648,True,
3490,US-FR2,2005-09-02,US-FR2,Mixed Forests,29.94949,-97.99623,3.0,5.3,3.751531387426631,25.87964583333333,0.0984229166666666,1.5121875000000002,-0.8800122039735356,-0.4749510720670502,3.3521822587271695,0.0984229166666666,3.450605175393837,34.033,True,
3491,US-FR2,2005-09-18,US-FR2,Mixed Forests,29.94949,-97.99623,4.9,6.6,3.648280738920749,28.605166666666666,0.14859375,2.5649583333333332,-0.9760105506323682,-0.2177232303965322,3.869512559474155,0.14859375,4.018106309474157,35.41900000000001,True,
